Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.flink.types.ByteValue;130.0;0.0;20.0;1.0;20.0;14.0;39.0;0.6;0.6428571428571429;2.0;0.0;15.0;15.0;9.0;6.0;20.0;29.0;17.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.typeinfo.TypeHint;38.0;0.0;12.0;1.0;6.0;6.0;0.0;0.0;0.0;1.0;0.0;4.0;4.0;5.0;2.0;9.0;10.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.functions.RichJoinFunction;5.0;0.0;7.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;7.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.core.memory.DataOutputViewStreamWrapper;33.0;0.0;14.0;3.0;5.0;4.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;6.0;6.0;14.0;6.0;11.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.java.typeutils.runtime.EitherSerializer;155.0;0.0;21.0;2.0;33.0;43.0;23.0;0.46153846153846156;0.5;3.0;0.0;13.0;13.0;55.0;2.0;16.0;56.0;19.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.typeutils.base.DateComparator;59.0;0.0;16.0;3.0;10.0;13.0;14.0;1.0;1.2;1.0;0.0;6.0;6.0;8.0;2.0;15.0;19.0;21.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.java.tuple.builder.Tuple0Builder;12.0;0.0;7.0;1.0;5.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;4.0;1.0;6.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.operators.base.CrossOperatorBase;85.0;0.0;42.0;4.0;16.0;4.0;2.0;0.33333333333333337;0.5;1.0;0.0;3.0;2.0;26.0;1.0;30.0;10.0;23.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.util.SimpleStringUtils$WhitespaceTokenizer;49.0;0.0;11.0;1.0;6.0;7.0;0.0;0.25;0.5;4.0;0.0;2.0;2.0;6.0;2.0;11.0;9.0;19.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.typeutils.base.LongValueSerializer;57.0;0.0;16.0;3.0;18.0;8.0;45.0;1.0;1.1111111111111112;2.0;1.0;10.0;10.0;9.0;1.0;15.0;18.0;3.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.types.parser.ByteParser;120.0;0.0;14.0;2.0;9.0;35.0;9.0;0.6;0.75;1.0;0.0;5.0;5.0;9.0;2.0;13.0;40.0;42.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.core.memory.MemoryUtils;29.0;0.0;18.0;1.0;4.0;1.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;6.0;4.0;18.0;2.0;16.0;0.0;3.0;5.0;0.0;12.0;0.0;5.0;2.0;1.0;0.0;5.0;5.0;0.0;5.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.flink.types.parser.ShortParser;122.0;0.0;15.0;2.0;9.0;35.0;8.0;0.6;0.75;3.0;0.0;5.0;5.0;9.0;2.0;14.0;40.0;41.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.operators.Keys$SelectorFunctionKeys;97.0;0.0;30.0;2.0;14.0;14.0;19.0;0.71875;0.8214285714285714;4.0;0.0;8.0;7.0;17.0;2.0;22.0;27.0;24.0;2.0;1.0;1.0;0.0;7.0;0.0;1.0;1.0;2.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.typeutils.base.array.StringArraySerializer;79.0;0.0;20.0;3.0;18.0;12.0;45.0;0.9666666666666667;1.074074074074074;3.0;1.0;10.0;10.0;11.0;2.0;19.0;22.0;10.0;2.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.types.parser.StringParser;76.0;0.0;11.0;2.0;6.0;25.0;4.0;0.5625;0.75;4.0;0.0;4.0;4.0;5.0;3.0;10.0;29.0;52.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.operators.SingleInputOperator;170.0;10.0;34.0;3.0;21.0;9.0;62.0;0.7380952380952381;0.7948717948717949;3.0;0.0;14.0;13.0;15.0;13.0;25.0;23.0;8.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
org.apache.flink.api.common.io.InputStreamFSInputWrapper;51.0;0.0;14.0;3.0;8.0;9.0;4.0;0.30000000000000004;0.375;2.0;0.0;5.0;5.0;5.0;2.0;14.0;14.0;12.0;3.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
